Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
173430,206737412,G,38.7337,-0.5594,-37.4725,9.7871,37.4767,0.2583,-1.5857,1,G,56.9239,-8.0254,44.2594,34.8857,44.9811,0.7135,1.7502,-1,83.8746
173430,205677319,G,87.7655,-59.8309,-53.9272,-34.8554,80.5473,-0.4203,-2.408,1,G,30.8967,28.1397,-6.2943,11.0967,28.835,0.3759,-0.2201,-1,94.2618
173430,205452437,G,153.926,-25.8893,15.0105,150.989,29.9261,2.3213,2.6162,-1,G,32.8043,28.5464,14.6845,6.7513,32.1019,0.2088,0.4751,1,95.3804
173430,206447404,G,72.0542,27.743,-22.4726,62.5868,35.7028,1.3274,-0.6808,-1,G,102.359,-24.9086,53.5084,83.6285,59.0219,1.1478,2.0065,1,89.8317
173430,207069119,G,117.076,14.879,67.6677,-94.3736,69.2842,-1.1158,1.3544,1,G,65.2956,61.5929,7.1573,-20.4595,62.0073,-0.3242,0.1157,-1,92.8755
173430,205467766,G,80.0893,23.2659,-26.6625,71.8477,35.3863,1.4571,-0.8533,-1,G,32.8502,-22.0039,21.8147,-10.9121,30.9847,-0.3453,2.3605,1,94.9584
173430,205894994,G,45.5111,-37.024,-25.9863,-5.0183,45.2335,-0.1107,-2.5296,1,G,50.0707,47.8879,11.5719,8.9389,49.2662,0.1805,0.2371,-1,93.7801
173430,206765166,G,60.303,50.1907,3.8993,-33.1984,50.3419,-0.6191,0.0775,1,G,48.7544,-41.5509,0.0731,-25.5048,41.5509,-0.5806,3.1398,-1,91.4167
173430,207298807,G,96.6166,-37.2528,-30.0134,-83.9415,47.8391,-1.3282,-2.4634,-1,G,34.7357,20.4223,17.4314,-22.0372,26.85,-0.7488,0.7066,1,74.7019
173430,207901032,G,141.091,37.2544,33.2992,-131.947,49.9672,-1.6982,0.7294,-1,G,95.4993,-33.1262,-21.3414,-86.9902,39.4056,-1.5328,-2.5693,1,88.778
173430,208051055,G,57.2807,37.0755,-38.2422,-21.0713,53.2641,-0.3859,-0.8009,1,G,49.9996,-28.2576,28.3871,-29.927,40.054,-0.6909,2.3539,-1,93.4523
173430,208754108,G,58.1592,-23.2882,-21.9082,48.5816,31.9736,1.2055,-2.3867,-1,G,40.7917,33.2426,22.9673,-5.6022,40.4051,-0.1382,0.6046,1,88.5655
173430,207497788,G,50.9557,0.7088,-46.3882,21.0739,46.3936,0.4399,-1.5555,1,G,44.3229,3.7299,32.7475,-29.6344,32.9592,-0.8082,1.4574,-1,93.8028
173430,207768776,G,126.444,36.7176,18.2058,119.618,40.9833,1.7924,0.4603,1,G,130.466,-22.4983,-38.0064,122.762,44.1663,1.7463,-2.1053,-1,81.6094
173430,208316532,G,47.013,5.3287,-35.1734,30.7351,35.5747,0.7818,-1.4204,-1,G,43.5003,-19.9455,37.9375,-7.4293,42.8611,-0.1725,2.0548,1,86.1871
